Model Name,Developed by,Funded by [optional],Shared by [optional],Model type,Language(s) (NLP),License,Finetuned from model [optional],Repository,Paper [optional],Demo [optional],Label Information,Training Data,Training Procedure,Preprocessing [optional],Training Hyperparameters,"Speeds, Sizes, Times [optional]",Testing Data,Factors,Metrics,Results,Summary,Direct Use,Downstream Use [optional],Out-of-Scope Use,"Bias, Risks, and Limitations",Recommendations,How to Get Started with the Model,Model Examination [optional],Environmental Impact,Technical Specifications [optional],Model Architecture and Objective,Compute Infrastructure,Hardware,Software,Citation [optional],Glossary [optional],More Information [optional],Model Card Authors [optional],Model Card Contact
hilmansw/indobert-finetuned-sentiment-happiness-index,PIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,FIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
FinanceInc/auditor_sentiment_finetuned,PIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
pysentimiento/roberta-targeted-sentiment-analysis,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,FIA,NIA,FIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
RecordedFuture/Swedish-Sentiment-Violence,FIA,PIA,PIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
poerwiyanto/bert-base-indonesian-522M-finetuned-sentiment,PIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,FIA,NIA,NIA,PIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
MarieAngeA13/Sentiment-Analysis-BERT,PIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
poom-sci/WangchanBERTa-finetuned-sentiment,PIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,FIA,FIA,PIA,PIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,FIA,NIA,NIA,PIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
xaqren/sentiment_analysis,PIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,NIA,FIA,FIA,PIA,PIA,PIA,FIA,PIA,FIA,FIA,PIA,FIA,PIA,NIA,FIA,NIA,FIA,PIA,NIA,PIA,PIA,FIA,NIA,NIA,FIA,NIA,FIA,PIA,PIA
Davlan/naija-twitter-sentiment-afriberta-large,FIA,PIA,PIA,FIA,FIA,NIA,FIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,PIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA
bardsai/finance-sentiment-zh-base,FIA,PIA,PIA,FIA,FIA,NIA,FIA,NIA,NIA,FIA,FIA,FIA,PIA,PIA,FIA,FIA,FIA,NIA,FIA,FIA,NIA,FIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
seara/rubert-base-cased-russian-sentiment,PIA,NIA,NIA,FIA,FIA,FIA,FIA,FIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
blanchefort/rubert-base-cased-sentiment-med,PIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
hanifnoerr/Fine-tuned-Indonesian-Sentiment-Classifier,PIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
RashidNLP/Finance-Sentiment-Classification,PIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
RogerKam/roberta_fine_tuned_sentiment_newsmtsc,PIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
abnersampaio/sentimentv2,PIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-roberta-base-tweet-sentiment-pt,PIA,PIA,PIA,FIA,FIA,NIA,FIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
aari1995/German_Sentiment,FIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
ncduy/phobert-large-finetuned-vietnamese_students_feedback,PIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,FIA,FIA,PIA,PIA,PIA,PIA,NIA,PIA,PIA,PIA,PIA,PIA,FIA,NIA,NIA,NIA,NIA,FIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA
ZiweiChen/FinBERT-FOMC,PIA,NIA,NIA,FIA,FIA,NIA,FIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
JP040/bert-german-sentiment-twitter,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,PIA,PIA,PIA,PIA,FIA,PIA,PIA,PIA,PIA,PIA,FIA,PIA,NIA,PIA,PIA,FIA,PIA,NIA,PIA,PIA,PIA,NIA,NIA,FIA,NIA,FIA,PIA,FIA
alger-ia/dziribert_sentiment,PIA,PIA,PIA,FIA,FIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
blanchefort/rubert-base-cased-sentiment-rurewiews,PIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
z-dickson/multilingual_sentiment_newspaper_headlines,PIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
rasmodev/Covid-19_Sentiment_Analysis_RoBERTa_Model,PIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,NIA,FIA,PIA,PIA,PIA,PIA,FIA,PIA,PIA,PIA,PIA,FIA,PIA,NIA,FIA,FIA,FIA,PIA,NIA,PIA,PIA,PIA,NIA,NIA,FIA,NIA,FIA,PIA,PIA
CAMeL-Lab/bert-base-arabic-camelbert-msa-sentiment,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,FIA,PIA,PIA,PIA,PIA,FIA,PIA,NIA,PIA,FIA,PIA,NIA,NIA,NIA,NIA,FIA,FIA,FIA
