Model Name,Developed by,Funded by [optional],Shared by [optional],Model type,Language(s) (NLP),License,Finetuned from model [optional],Repository,Paper [optional],Demo [optional],Label Information,Training Data,Training Procedure,Preprocessing [optional],Training Hyperparameters,"Speeds, Sizes, Times [optional]",Testing Data,Factors,Metrics,Results,Summary,Direct Use,Downstream Use [optional],Out-of-Scope Use,"Bias, Risks, and Limitations",Recommendations,How to Get Started with the Model,Model Examination [optional],Environmental Impact,Technical Specifications [optional],Model Architecture and Objective,Compute Infrastructure,Hardware,Software,Citation [optional],Glossary [optional],More Information [optional],Model Card Authors [optional],Model Card Contact
hilmansw/indobert-finetuned-sentiment-happiness-index,NIA,NIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
FinanceInc/auditor_sentiment_finetuned,NIA,NIA,NIA,FIA,PIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
pysentimiento/roberta-targeted-sentiment-analysis,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
RecordedFuture/Swedish-Sentiment-Violence,NIA,NIA,FIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,FIA,PIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA
poerwiyanto/bert-base-indonesian-522M-finetuned-sentiment,NIA,NIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
MarieAngeA13/Sentiment-Analysis-BERT,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
poom-sci/WangchanBERTa-finetuned-sentiment,NIA,NIA,NIA,NIA,PIA,FIA,NIA,NIA,NIA,NIA,NIA,PIA,PIA,PIA,PIA,PIA,PIA,NIA,PIA,PIA,PIA,FIA,FIA,NIA,FIA,PIA,PIA,PIA,NIA,PIA,PIA,PIA,PIA,NIA,NIA,PIA,NIA,PIA,PIA
xaqren/sentiment_analysis,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,PIA,FIA,FIA,FIA,PIA,,PIA,NIA,FIA,FIA,PIA,FIA,PIA,NIA,FIA,PIA,FIA,PIA,NIA,PIA,PIA,PIA,PIA,NIA,FIA,PIA,NIA,NIA,NIA
Davlan/naija-twitter-sentiment-afriberta-large,PIA,PIA,PIA,NIA,FIA,NIA,FIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,PIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,FIA,FIA
bardsai/finance-sentiment-zh-base,FIA,NIA,FIA,PIA,FIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
seara/rubert-base-cased-russian-sentiment,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
blanchefort/rubert-base-cased-sentiment-med,NIA,NIA,NIA,NIA,PIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA
hanifnoerr/Fine-tuned-Indonesian-Sentiment-Classifier,NIA,NIA,NIA,NIA,PIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
RashidNLP/Finance-Sentiment-Classification,NIA,NIA,NIA,FIA,PIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA
RogerKam/roberta_fine_tuned_sentiment_newsmtsc,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
abnersampaio/sentimentv2,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-roberta-base-tweet-sentiment-pt,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
aari1995/German_Sentiment,FIA,NIA,FIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,PIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA
ncduy/phobert-large-finetuned-vietnamese_students_feedback,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA,PIA,NIA,PIA,PIA,NIA,PIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
ZiweiChen/FinBERT-FOMC,NIA,NIA,NIA,FIA,PIA,NIA,FIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
JP040/bert-german-sentiment-twitter,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,FIA,NIA,NIA,PIA,PIA,FIA,PIA,NIA,NIA,PIA,PIA,PIA,NIA,FIA,NIA,NIA,PIA,FIA
alger-ia/dziribert_sentiment,PIA,PIA,PIA,FIA,FIA,NIA,NIA,FIA,FIA,NIA,NIA,FIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
blanchefort/rubert-base-cased-sentiment-rurewiews,NIA,NIA,NIA,PIA,FIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,FIA,PIA,NIA,NIA,NIA,PIA,NIA,PIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA
z-dickson/multilingual_sentiment_newspaper_headlines,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
rasmodev/Covid-19_Sentiment_Analysis_RoBERTa_Model,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,NIA,NIA,PIA,PIA,PIA,NIA,PIA,PIA,PIA,NIA,NIA,FIA,PIA,PIA,PIA,PIA
CAMeL-Lab/bert-base-arabic-camelbert-msa-sentiment,PIA,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,NIA,PIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,FIA,PIA,PIA,PIA,NIA,PIA,PIA,PIA,PIA,PIA,FIA,PIA,NIA,PIA,PIA,NIA,PIA,NIA,PIA,PIA,PIA,PIA,NIA,NIA,NIA,NIA,FIA,FIA
