model,architectures,mappings
dhikaardianto/TiktokSentimentIndoBertTwitter,BertForSequenceClassification,"{""LABEL_0 (Positive)"": ""2"", ""LABEL_1 (Neutral)"": ""1"", ""LABEL_2 (Negative)"": ""0""}"
tyqiangz/indobert-lite-large-p2-smsa,AlbertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
Nelver28/sentiment-analysis-positive-mixed-negative,DistilBertForSequenceClassification,"{""satisfied"": ""2"", ""mixed"": ""1"", ""non satisfied"": ""0""}"
kartashoffv/vashkontrol-sentiment-rubert,BertForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
zainalq7/autotrain-NLU_crypto_sentiment_analysis-754123133,RobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
cardiffnlp/xlm-v-base-tweet-sentiment-fr,XLMRobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""2"", ""negative"": ""0""}"
CK42/sentiment_analysis_sbcBI,DistilBertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_0"": ""0"", ""LABEL_1"": ""1""}"
adnanakbr/bert-base-multilingual-uncased-sentiment-fine_tuned_for_amazon_english_reviews_on_200K_review_v2,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
mirfan899/da_spacy_sentiment,,"{""neutral"": ""1"", ""negative"": ""0"", ""positive"": ""2""}"
cardiffnlp/xlm-v-base-tweet-sentiment-en,XLMRobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
DunnBC22/bert-base-uncased-Twitter_Sentiment_Analysis_v2,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
TankuVie/bert-base-multilingual-uncased-vietnamese_sentiment_analysis,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
duwuonline/mymodel-classify-sentiment,XLMRobertaForSequenceClassification,"{""POS"": ""2"", ""NEU"": ""1"", ""NEG"": ""0""}"
Tobias/bert-base-german-cased_German_Hotel_sentiment,BertForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
eevvgg/PaReS-sentimenTw-political-PL,BertForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
venetis/distilroberta-base-finetuned-3d-sentiment,RobertaForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
A-Funakoshi/bert-finetuned-multilingual-sentiments,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
devtanumisra/finetuning-sentiment-model-deberta-smote,DebertaV2ForSequenceClassification,"{""Positive"": ""2"", ""Negative"": ""0"", ""Neutral"": ""1""}"
sasha/autotrain-BERTBase-TweetEval-1281248996,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
cardiffnlp/mbert-base-tweet-sentiment-it,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
candra/indobertweet-sentiment2,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
Jonathan0528/bert-base-uncased-financial-news-sentiment,BertForSequenceClassification,{}
sismetanin/rubert_conversational-ru-sentiment-krnd,BertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
RogerB/kin-sentiC,XLMRobertaForSequenceClassification,"{""neutral"": ""1"", ""negative"": ""0"", ""positive"": ""2""}"
Anthos23/my-awesome-model,RobertaForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,BertForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
course5i/SEAD-L-6_H-256_A-8-mnli,BertForSequenceClassification,"{""0"": ""0"", ""1"": ""1"", ""2"": ""2""}"
Narsil/finbert-slow,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
sairahul5223/autotrain-auto-train-intent-classification-20220928-1584756071,,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
FinScience/FS-distilroberta-fine-tuned,RobertaForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
senfu/bert-base-uncased-top-pruned-mnli,ToPBertForSequenceClassification,"{""0"": ""0"", ""1"": ""1"", ""2"": ""2""}"
ruanchaves/bert-base-portuguese-cased-porsimplessent,BertForSequenceClassification,"{""2"": ""2"", ""1"": ""1"", ""0"": ""0""}"
Cincin-nvp/NusaX-senti_XLM-R,XLMRobertaForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
rhythm00/HF_tutor,BertForSequenceClassification,{}
mlkorra/obgv-gender-bert-hi-en,BertForSequenceClassification,"{""negative"": ""0"", ""neutral"": ""1"", ""positive"": ""2""}"
Svetlana0303/Classfication_longformer,LongformerForSequenceClassification,"{""2"": ""2"", ""1"": ""1"", ""0"": ""0""}"
sara-nabhani/ML-ns-bert-base-uncased,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
yanezh/twiiter_try6_fold1,XLMRobertaForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
davidchiii/news-headlines,BertForSequenceClassification,"{""POS"": ""2"", ""NEU"": ""1"", ""NEG"": ""0""}"
Hyeonseo/finance_news_classifier,XLMRobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
dogruermikail/bert-fine-tuning-sentiment-stocks-analyis-uncased,BertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
finiteautomata/beto-headlines-sentiment-analysis,BertForSequenceClassification,"{""POS"": ""2"", ""NEU"": ""1"", ""NEG"": ""0""}"
MavisAJ/Sentiment_analysis_roberta_model,RobertaForSequenceClassification,"{""LABEL_1"": ""1"", ""LABEL_2"": ""2"", ""LABEL_0"": ""0""}"
cardiffnlp/xlm-v-base-tweet-sentiment-ar,XLMRobertaForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
cardiffnlp/xlm-roberta-base-tweet-sentiment-ar,XLMRobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
cardiffnlp/xlm-roberta-base-tweet-sentiment-es,XLMRobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
benjaminbeilharz/bert-base-uncased-sentiment-classifier,BertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_0"": ""0"", ""LABEL_1"": ""1""}"
oandreae/financial_sentiment_model,PerceiverForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
RogerKam/roberta_fine_tuned_sentiment_financial_news,RobertaForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
UchihaMadara/phobert-finetuned-sentiment-analysis,RobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
Mawulom/Fine-Tuned-Bert_Base_Cased_Sentiment_Analysis,BertForSequenceClassification,"{""LABEL_1"": ""1"", ""LABEL_2"": ""2"", ""LABEL_0"": ""0""}"
Abdelrahman-Rezk/emotion-english-distilroberta-base-fine_tuned_for_amazon_english_reviews_V03_on_100K_review,RobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
salohnana2018/ARABERT02-best-trail,BertForSequenceClassification,"{""neutral"": ""1"", ""negative"": ""0"", ""positive"": ""2""}"
neojex/testing,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
CultureBERT/roberta-large-adhocracy,RobertaForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
yanezh/twiiter_try10_fold4,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
yanezh/twiiter_try15_fold3,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
Tejas3/distillbert_base_uncased_80,DistilBertForSequenceClassification,"{""POSITIVE"": ""2"", ""NEUTRAL"": ""1"", ""NEGATIVE"": ""0""}"
salohnana2018/ABSA-Pair-domainAdapt-CAMEL-MSA-HARD-ImbalancedHandling-absoluteWeights-gamma1-dropout01,BertForSequenceClassification,"{""negative"": ""0"", ""positive"": ""2"", ""neutral"": ""1""}"
salohnana2018/ABSA-Pair-domainAdapt-CAMEL-MSA-HARD-ImbalancedHandling-inv-prop-weights-gamma1,BertForSequenceClassification,"{""negative"": ""0"", ""positive"": ""2"", ""neutral"": ""1""}"
CMunch/fine_tuned_dota,DistilBertForSequenceClassification,"{""NEUTRAL"": ""2"", ""VERY_NEG"": ""0"", ""SOMEWHAT_NEG"": ""1""}"
intanm/sa10-clm-20230403-001-3,BertForSequenceClassification,"{""NEUTRAL"": ""1"", ""POSITIVE"": ""2"", ""NEGATIVE"": ""0""}"
hazrulakmal/bert-base-uncased-finetuned,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
intanm/fin-sa-post-trained-indobert-base-finreports-p2-001,BertForSequenceClassification,"{""POSITIVE"": ""2"", ""NEUTRAL"": ""1"", ""NEGATIVE"": ""0""}"
intanm/fin-sa-post-trained-indobert-base-combined,BertForSequenceClassification,"{""NEUTRAL"": ""1"", ""POSITIVE"": ""2"", ""NEGATIVE"": ""0""}"
chinmayapani/panich,DistilBertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
bvint/autotrain-sphere-lecture-demo-1671659193,,"{""positiv"": ""2"", ""neutral"": ""1"", ""negativ"": ""0""}"
DingYao/autotrain-fbert-singlish-1755361190,,"{""2"": ""2"", ""0"": ""0"", ""1"": ""1""}"
jordankrishnayah/robertaSentimentBiasTestwithMBIC,RobertaForSequenceClassification,"{""neutral"": ""1"", ""negative"": ""0"", ""positive"": ""2""}"
EMBEDDIA/bertic-tweetsentiment,ElectraForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
hazrulakmal/benchmark-finetuned-distilbert,DistilBertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
ultraleow/cloud4bert,BertForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
researchaccount/sa_sub5,BertForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
quesmed/tone,RobertaForSequenceClassification,"{""neutral"": ""1"", ""negative"": ""0"", ""positive"": ""2""}"
EMBEDDIA/english-tweetsentiment,BertForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
BramVanroy/bert-base-multilingual-cased-hebban-reviews,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
nuriafari/my_model,PerceiverForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
CultureBERT/roberta-large-market,RobertaForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
intanm/mlm_v1_20230327_fin_sa_10,BertForSequenceClassification,"{""NEUTRAL"": ""1"", ""NEGATIVE"": ""0"", ""POSITIVE"": ""2""}"
DingYao/autotrain-fbert-singlish-2-1937065404,,"{""2"": ""2"", ""1"": ""1"", ""0"": ""0""}"
course5i/SEAD-L-6_H-384_A-12-mnli,BertForSequenceClassification,"{""1"": ""1"", ""0"": ""0"", ""2"": ""2""}"
intanm/100-finSA-finLM-v1-001,BertForSequenceClassification,"{""NEUTRAL"": ""1"", ""POSITIVE"": ""2"", ""NEGATIVE"": ""0""}"
cassiepowell/RoBERTa-large-mnli-for-agreement,RobertaForSequenceClassification,"{""1"": ""1"", ""2"": ""2"", ""0"": ""0""}"
fassahat/anferico-bert-for-patents-finetuned-557k-patent-sentences,BertForSequenceClassification,"{""2"": ""2"", ""1"": ""1"", ""0"": ""0""}"
Anthos23/FS-finbert-fine-tuned-f1,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
researchaccount/sa_sub1,BertForSequenceClassification,"{""Neutral"": ""1"", ""Positive"": ""2"", ""Negative"": ""0""}"
DunnBC22/fnet-large-Financial_Sentiment_Analysis_v3,FNetForSequenceClassification,"{""LABEL_2"": ""1"", ""LABEL_0"": ""2"", ""LABEL_1"": ""0""}"
hw2942/bert-base-chinese-finetuning-financial-news-sentiment-test,BertForSequenceClassification,"{""Neutral"": ""1"", ""Positive"": ""2"", ""Negative"": ""0""}"
antypasd/twitter-roberta-base-sentiment-earthquake,RobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
rod16/v1_finetuning-sentiment-model-news-samples,DistilBertForSequenceClassification,"{""LABEL_1"": ""1"", ""LABEL_2"": ""2"", ""LABEL_0"": ""0""}"
A-Funakoshi/bert-base-japanese-v3-wrime-sentiment,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
data354/camembert-fr-covid-tweet-sentiment-classification,CamembertForSequenceClassification,"{""neutre"": ""1"", ""positif"": ""2"", ""negatif"": ""0""}"
sismetanin/rubert_conversational-ru-sentiment-rureviews,BertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
EMBEDDIA/sloberta-tweetsentiment,CamembertForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
salohnana2018/ARABERT02,BertForSequenceClassification,"{""neutral"": ""1"", ""negative"": ""0"", ""positive"": ""2""}"
slickdata/finetuned-Sentiment-classfication-ROBERTA-model,RobertaForSequenceClassification,"{""LABEL_1"": ""1"", ""LABEL_2"": ""2"", ""LABEL_0"": ""0""}"
maegancp/finetuning-sentiment-model,DistilBertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
laurens88/finetuning-crypto-tweet-sentiment-test2,RobertaForSequenceClassification,"{""POS"": ""2"", ""NEU"": ""1"", ""NEG"": ""0""}"
dpeinado/twitter-roberta-base-sentiment-latest-apple-opinions,RobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
ongknsro/ACARISBERT-DistilBERT,DistilBertForMulticlassSequenceClassification,"{""pos"": ""2"", ""neu"": ""1"", ""neg"": ""0""}"
DunnBC22/fnet-base-Financial_Sentiment_Analysis,FNetForSequenceClassification,"{""LABEL_2"": ""1"", ""LABEL_1"": ""0"", ""LABEL_0"": ""2""}"
vectorizer/sentiment_analysis_93k_entries,DistilBertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_0"": ""0"", ""LABEL_1"": ""1""}"
bekbote/autotrain-dl-phrasebank-53436126044,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
debashish68/roberta-sent-generali,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
BeChi87/train_model_noStopWord,RobertaForSequenceClassification,"{""NEU"": ""1"", ""NEG"": ""0"", ""POS"": ""2""}"
cruiser/roberta_tweet_eval_finetuned,RobertaForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
cassiepowell/LaBSE-for-agreement,BertForSequenceClassification,"{""2"": ""2"", ""1"": ""1"", ""0"": ""0""}"
Teeto/reviews-classification,BertForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
gabrielkytz/novo,RobertaForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
salohnana2018/ABSA-SentencePair-DAPT-HARD-SemEval-bert-base-Camel-MSA-run3,BertForSequenceClassification,"{""negative"": ""0"", ""positive"": ""2"", ""neutral"": ""1""}"
ruanchaves/mdeberta-v3-base-assin-entailment,DebertaV2ForSequenceClassification,"{""2"": ""2"", ""0"": ""0"", ""1"": ""1""}"
profoz/deploy-mlops-demo,DistilBertForSequenceClassification,"{""POSITIVE"": ""2"", ""NEGATIVE"": ""0"", ""NEUTRAL"": ""1""}"
intanm/baseline_fin_sa_30,BertForSequenceClassification,"{""NEUTRAL"": ""1"", ""POSITIVE"": ""2"", ""NEGATIVE"": ""0""}"
tiwanyan/distil_bert_fine_tune,DistilBertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
cruiser/distilbert_model_kaggle_200_epoch,DistilBertForSequenceClassification,"{""Neutral"": ""1"", ""Positive"": ""2"", ""Negative"": ""0""}"
researchaccount/sa_sub4,BertForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
raygx/xlmRoBERTa-NepSA,XLMRobertaForSequenceClassification,"{""NEUTRAL"": ""1"", ""NEGATIVE"": ""0"", ""POSITIVE"": ""2""}"
adnanakbr/emotion-english-distilroberta-base-fine_tuned_for_amazon_english_reviews_on_200K_review_v3,RobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
intanm/baseline_fin_sa_70,BertForSequenceClassification,"{""NEUTRAL"": ""1"", ""POSITIVE"": ""2"", ""NEGATIVE"": ""0""}"
sasha/autotrain-RobertaBaseTweetEval-1281048990,RobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
BeChi87/train_model_Lastest1,RobertaForSequenceClassification,"{""POS"": ""2"", ""NEU"": ""1"", ""NEG"": ""0""}"
raoh/yiran-nlp4,AlbertForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
BeChi87/train_model_Lastest_16_8_lan2,RobertaForSequenceClassification,"{""POS"": ""2"", ""NEU"": ""1"", ""NEG"": ""0""}"
Svetlana0303/Classfication_electra,ElectraForSequenceClassification,"{""2"": ""2"", ""1"": ""1"", ""0"": ""0""}"
raygx/BERT-NepSA-domainAdapt,BertForSequenceClassification,"{""NEUTRAL"": ""1"", ""POSITIVE"": ""2"", ""NEGATIVE"": ""0""}"
fassahat/anferico-bert-for-patents-finetuned-150k-sentences,BertForSequenceClassification,"{""1"": ""1"", ""2"": ""2"", ""0"": ""0""}"
salohnana2018/ABSA-Pair-domainAdapt-Qarib-HARD-ImbalancedHandling-absoluteWeights-gamma1-dropout01,BertForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
BeChi87/train_model_Lastest_21,RobertaForSequenceClassification,"{""POS"": ""2"", ""NEG"": ""0"", ""NEU"": ""1""}"
KarelDO/lstm.CEBaB_confounding.food_service_positive.absa.5-class.seed_42,LSTMForSequenceClassification,"{""1"": ""1"", ""2"": ""2"", ""0"": ""0""}"
aarnphm/multi-length-text-classification-pipeline,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
blinjrm/finsent,RobertaForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
yanezh/twiiter_try15_fold4,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
AlonCohen/RuSentNE-test,DebertaV2ForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
salohnana2018/MARBERTV02ABSAnew,BertForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
raygx/distilBERT-NepSA,DistilBertForSequenceClassification,"{""NEUTRAL"": ""1"", ""POSITIVE"": ""2"", ""NEGATIVE"": ""0""}"
Narsil/finbert2,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
Robher51/Model3,DistilBertForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
salohnana2018/ABSA-Pair-domainAdapt-Camel-MSA-HARD-ImbalancedHandling-absoluteWeights-gamma1-run2,BertForSequenceClassification,"{""negative"": ""0"", ""positive"": ""2"", ""neutral"": ""1""}"
niksmer/RoBERTa-RILE,RobertaForSequenceClassification,"{""Right"": ""2"", ""Left"": ""0"", ""Neutral"": ""1""}"
chrommium/sbert_large-finetuned-sent_in_news_sents_3lab,BertForSequenceClassification,"{""LABEL_0"": ""1"", ""LABEL_1"": ""2"", ""LABEL_-1"": ""0""}"
yanezh/twiiter_try13_fold1,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
ruanchaves/bert-base-portuguese-cased-assin-entailment,BertForSequenceClassification,"{""0"": ""0"", ""1"": ""1"", ""2"": ""2""}"
yanezh/twiiter_try10_fold0,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
intanm/mlm_v1_20230327_fin_sa_100,BertForSequenceClassification,"{""NEUTRAL"": ""1"", ""POSITIVE"": ""2"", ""NEGATIVE"": ""0""}"
intanm/fin-sa-post-trained-indobert-base-finnews-p2-001,BertForSequenceClassification,"{""NEUTRAL"": ""1"", ""POSITIVE"": ""2"", ""NEGATIVE"": ""0""}"
intanm/baseline_fin_sa_100,BertForSequenceClassification,"{""NEUTRAL"": ""1"", ""POSITIVE"": ""2"", ""NEGATIVE"": ""0""}"
intanm/mlm_v1_20230327_fin_sa_90,BertForSequenceClassification,"{""NEUTRAL"": ""1"", ""POSITIVE"": ""2"", ""NEGATIVE"": ""0""}"
BramVanroy/xlm-roberta-base-hebban-reviews,XLMRobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
yanezh/twiiter_try11_fold3,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
cnut1648/biolinkbert-mnli,BertForSequenceClassification,"{""1"": ""1"", ""0"": ""0"", ""2"": ""2""}"
israel/testing_model,XLMRobertaForSequenceClassification,"{""neutral"": ""1"", ""negative"": ""0"", ""positive"": ""2""}"
intanm/sa100-mlm-20230403-001-2,BertForSequenceClassification,"{""NEUTRAL"": ""1"", ""POSITIVE"": ""2"", ""NEGATIVE"": ""0""}"
intanm/fin-sa-post-trained-indobert-base-finreport,BertForSequenceClassification,"{""NEUTRAL"": ""1"", ""POSITIVE"": ""2"", ""NEGATIVE"": ""0""}"
sasha/autotrain-BERTBase-TweetEval-1281248998,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
ozoora/rubert-4.1poi,BertForSequenceClassification,"{""POSITIVE"": ""2"", ""NEGATIVE"": ""0"", ""NEUTRAL"": ""1""}"
midwinter73/dipterv6,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
sasha/autotrain-DistilBERT-TweetEval-1281148991,DistilBertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
yanezh/twiiter_try4_fold3,RobertaForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
yanezh/twiiter_try5_fold3,RobertaForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
asaderu-ai/ssclass_best,BertForSequenceClassification,"{""1"": ""1"", ""2"": ""2"", ""0"": ""0""}"
cruiser/distilbert_final_config_dropout,DistilBertForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
BeChi87/train_model_Lastestttt,RobertaForSequenceClassification,"{""POS"": ""2"", ""NEU"": ""1"", ""NEG"": ""0""}"
yanezh/twiiter_try5_fold0,RobertaForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
philschmid/finbert-tone-endpoint-ds,BertForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
intanm/baseline_fin_sa_60,BertForSequenceClassification,"{""NEUTRAL"": ""1"", ""POSITIVE"": ""2"", ""NEGATIVE"": ""0""}"
ymcnabb/dutch_threeway_sentiment_classification_v2,DebertaV2ForSequenceClassification,"{""neutral"": ""1"", ""contradiction"": ""0"", ""entailment"": ""2""}"
Bennet1996/finetuning-ESG-sentiment-model-distilbert,DistilBertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
cardiffnlp/mbert-base-tweet-sentiment-fr,BertForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
cardiffnlp/mbert-base-tweet-sentiment-pt,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
ecabott/nepali-sentiment-analyzer,BertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_0"": ""0"", ""LABEL_1"": ""1""}"
aXhyra/presentation_sentiment_1234567,DistilBertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
Pendo/finetuned-Sentiment-classfication-ROBERTA-Base-model,RobertaForSequenceClassification,"{""LABEL_1"": ""1"", ""LABEL_2"": ""2"", ""LABEL_0"": ""0""}"
Christiansg/finetuning-sentiment_spanish-amazon-group23,BertForSequenceClassification,"{""NEU"": ""1"", ""POS"": ""2"", ""NEG"": ""0""}"
bardsai/finance-sentiment-es-base,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
sismetanin/rubert_conversational-ru-sentiment-sentirueval2016,BertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
cardiffnlp/mbert-base-tweet-sentiment-ar,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
l3cube-pune/marathi-sentiment-subtitles,BertForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
hw2942/bert-base-chinese-finetuning-financial-news-sentiment-test1,BertForSequenceClassification,"{""Neutral"": ""1"", ""Positive"": ""2"", ""Negative"": ""0""}"
Ausbel/Vaccine-tweet-sentiments-analysis-model-2,RobertaForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
nlp-chula/sentiment-finnlp-th,CamembertForSequenceClassification,"{""Neutral"": ""1"", ""Positive"": ""2"", ""Negative"": ""0""}"
Psunrise/finetuning-customer-sentiment-model-300-samples,RobertaForSequenceClassification,"{""LABEL_1"": ""1"", ""LABEL_2"": ""2"", ""LABEL_0"": ""0""}"
lucaordronneau/twitter-roberta-base-sentiment-latest-finetuned-FG-SINGLE_SENTENCE-NEWS,RobertaForSequenceClassification,"{""fear"": ""2"", ""neutral"": ""1"", ""greed"": ""0""}"
hazrulakmal/distilbert-optimised-finetuned-financial-sentiment,DistilBertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
sakasa007/finetuning-sentiment-text-mining,RobertaForSequenceClassification,"{""POS"": ""2"", ""NEG"": ""0"", ""NEU"": ""1""}"
sshs/phobert-base-vietnamese-sentiment,RobertaForSequenceClassification,"{""LABEL_0"": ""2"", ""LABEL_2"": ""0"", ""LABEL_1"": ""1""}"
